field_device_phone_number,status,role_id
07232407318,allocated,HA-ARU2-ZA-02
07213493892,allocated,HA-ARU2-ZA-03
07427184728,allocated,HA-ARU2-ZA-04
07602732388,allocated,HA-ARU2-ZA-05
07366138296,allocated,HA-ARU2-ZA-06
07747256501,allocated,HA-ARU2-ZA-07
07998800081,allocated,HA-ARU2-ZA-08
07093393192,allocated,HA-ARU2-ZA-09
07154065548,allocated,HA-ARU2-ZA-10
07540231583,allocated,HA-ASF1
07304754488,allocated,HA-ASF1-ZA
07565524494,allocated,HA-ASF1-ZA-01
07717248530,allocated,HA-ASF1-ZA-02
07612988104,allocated,HA-ASF1-ZA-03
07031168597,allocated,HA-ASF1-ZA-04
07163120159,allocated,HA-ASF1-ZA-05
07242751949,allocated,HA-ASF1-ZA-06
07143069840,allocated,HA-ASF1-ZA-07
07520841652,allocated,HA-ASF1-ZA-08
07458146819,allocated,HA-ASF1-ZA-09
07283178314,allocated,HA-ASF1-ZA-10
07893708621,allocated,HA-ASF1-ZB
07305686941,allocated,HA-ASF1-ZB-01
07885300137,allocated,HA-ASF1-ZB-02
07509776196,allocated,HA-ASF1-ZB-03
07470409728,allocated,HA-ASF1-ZB-04
07797858440,allocated,HA-ASF1-ZB-05
07789132998,allocated,HA-ASF1-ZB-06
07009725666,allocated,HA-ASF1-ZB-07
07654984749,allocated,HA-ASF1-ZB-08
07797168101,allocated,HA-ASF1-ZB-09
07016532823,allocated,HA-ASF1-ZB-10
07272136713,allocated,HA-ASF1-ZC
07889081847,allocated,HA-ASF1-ZC-01
07362511360,allocated,HA-ASF1-ZC-02
07126426609,allocated,HA-ASF1-ZC-03
07976777527,allocated,HA-ASF1-ZC-04
07706260151,allocated,HA-ASF1-ZC-05
07737371495,allocated,HA-ASF1-ZC-06
07752959648,allocated,HA-ASF1-ZC-07
07602412006,allocated,HA-ASF1-ZC-08
07265845322,allocated,HA-ASF1-ZC-09
07783626336,allocated,HA-ASF1-ZC-10
07576230751,allocated,HA-ASF2
07656493426,allocated,HA-ASF2-ZA
07558525174,allocated,HA-ASF2-ZA-01
07880800314,allocated,HA-ASF2-ZA-02
07846053044,allocated,HA-ASF2-ZA-03
07378636057,allocated,HA-ASF2-ZA-04
07836262492,allocated,HA-ASF2-ZA-05
07831793582,allocated,HA-ASF2-ZA-06
07533288300,allocated,HA-ASF2-ZA-07
07266832810,allocated,HA-ASF2-ZA-08
07365884759,allocated,HA-ASF2-ZA-09
07506385720,allocated,HA-ASF2-ZA-10
07932564889,allocated,HA-ASH1
07992148859,allocated,HA-ASH1-ZA
07317436007,allocated,HA-ASH1-ZA-01
07770578035,allocated,HA-ASH1-ZA-02
07610111444,allocated,HA-ASH1-ZA-03
07486974670,allocated,HA-ASH1-ZA-04
07374782826,allocated,HA-ASH1-ZA-05
07719785843,allocated,HA-ASH1-ZA-06
07194943673,allocated,HA-ASH1-ZA-07
07836227763,allocated,HA-ASH1-ZA-08
07422525466,allocated,HA-ASH1-ZA-09
07011635350,allocated,HA-ASH1-ZA-10
07386259754,allocated,HA-ASH1-ZB
07123398749,allocated,HA-ASH1-ZB-01
07681112605,allocated,HA-ASH1-ZB-02
07457794235,allocated,HA-ASH1-ZB-03
07632206925,allocated,HA-ASH1-ZB-04
07978961890,allocated,HA-ASH1-ZB-05
07390982467,allocated,HA-ASH1-ZB-06
07277381714,allocated,HA-ASH1-ZB-07
07832057880,allocated,HA-ASH1-ZB-08
07301079811,allocated,HA-ASH1-ZB-09
07295074616,allocated,HA-ASH1-ZB-10
07940310780,allocated,HA-ASH1-ZC
07340282214,allocated,HA-ASH1-ZC-01
07105881860,allocated,HA-ASH1-ZC-02
07330798517,allocated,HA-ASH1-ZC-03
07444068942,allocated,HA-ASH1-ZC-04
07838368550,allocated,HA-ASH1-ZC-05
07658131162,allocated,HA-ASH1-ZC-06
07111294971,allocated,HA-ASH1-ZC-07
07409375786,allocated,HA-ASH1-ZC-08
07870700313,allocated,HA-ASH1-ZC-09
07421610440,allocated,HA-ASH1-ZC-10
07552006220,allocated,HA-ASH2
07626853848,allocated,HA-ASH2-ZA
07839854305,allocated,HA-ASH2-ZA-01
07532581492,allocated,HA-ASH2-ZA-02
07243573791,allocated,HA-ASH2-ZA-03
07209253460,allocated,HA-ASH2-ZA-04
07450117864,allocated,HA-ASH2-ZA-05
07524899089,allocated,HA-ASH2-ZA-06
07364111807,allocated,HA-ASH2-ZA-07
07162936074,allocated,HA-ASH2-ZA-08
07527710858,allocated,HA-ASH2-ZA-09
07943986172,allocated,HA-ASH2-ZA-10
07586652452,allocated,HA-AYL1
07960949314,allocated,HA-AYL1-ZA
07287243446,allocated,HA-AYL1-ZA-01
07198427133,allocated,HA-AYL1-ZA-02
07873366588,allocated,HA-AYL1-ZA-03
07581549790,allocated,HA-AYL1-ZA-04
07095499004,allocated,HA-AYL1-ZA-05
07605345403,allocated,HA-AYL1-ZA-06
07866082863,allocated,HA-AYL1-ZA-07
07675831092,allocated,HA-AYL1-ZA-08
07893491057,allocated,HA-AYL1-ZA-09
07526441328,allocated,HA-AYL1-ZA-10
07284793589,allocated,HA-AYL1-ZB
07188824249,allocated,HA-AYL1-ZB-01
07829104725,allocated,HA-AYL1-ZB-02
07713710412,allocated,HA-AYL1-ZB-03
07430009321,allocated,HA-AYL1-ZB-04
07270179572,allocated,HA-AYL1-ZB-05
07551167813,allocated,HA-AYL1-ZB-06
07731091494,allocated,HA-AYL1-ZB-07
07285921529,allocated,HA-AYL1-ZB-08
07716314853,allocated,HA-AYL1-ZB-09
07747236350,allocated,HA-AYL1-ZB-10
07200439793,allocated,HA-AYL1-ZC
07781307556,allocated,HA-AYL1-ZC-01
07014338404,allocated,HA-AYL1-ZC-02
07544167077,allocated,HA-AYL1-ZC-03
07152063384,allocated,HA-AYL1-ZC-04
07616510305,allocated,HA-AYL1-ZC-05
07850974238,allocated,HA-AYL1-ZC-06
07501994872,allocated,HA-AYL1-ZC-07
07140228948,allocated,HA-AYL1-ZC-08
07124358744,allocated,HA-AYL1-ZC-09
07883073464,allocated,HA-AYL1-ZC-10
07100543759,allocated,HA-AYL2
07242796492,allocated,HA-AYL2-ZA
07950646562,allocated,HA-AYL2-ZA-01
07635544285,allocated,HA-AYL2-ZA-02
07873943487,allocated,HA-AYL2-ZA-03
07263740649,allocated,HA-AYL2-ZA-04
07723126388,allocated,HA-AYL2-ZA-05
07404181888,allocated,HA-AYL2-ZA-06
07671642720,allocated,HA-AYL2-ZA-07
07577577892,allocated,HA-AYL2-ZA-08
07075351831,allocated,HA-AYL2-ZA-09
07820798779,allocated,HA-AYL2-ZA-10
07239401596,allocated,HA-BAB1
07390697210,allocated,HA-BAB1-ZA
07776658631,allocated,HA-BAB1-ZA-01
07258618520,allocated,HA-BAB1-ZA-02
07556255346,allocated,HA-BAB1-ZA-03
07701001602,allocated,HA-BAB1-ZA-04
07533708091,allocated,HA-BAB1-ZA-05
07698890664,allocated,HA-BAB1-ZA-06
07403486454,allocated,HA-BAB1-ZA-07
07501967088,allocated,HA-BAB1-ZA-08
07252647243,allocated,HA-BAB1-ZA-09
07335246712,allocated,HA-BAB1-ZA-10
07193159689,allocated,HA-BAB1-ZB
07859448140,allocated,HA-BAB1-ZB-01
07565196270,allocated,HA-BAB1-ZB-02
07663713167,allocated,HA-BAB1-ZB-03
07639831898,allocated,HA-BAB1-ZB-04
07166469215,allocated,HA-BAB1-ZB-05
07829707659,allocated,HA-BAB1-ZB-06
07823268302,allocated,HA-BAB1-ZB-07
07287447560,allocated,HA-BAB1-ZB-08
07128427265,allocated,HA-BAB1-ZB-09
07136472627,allocated,HA-BAB1-ZB-10
07731031795,allocated,HA-BAB1-ZC
07816755809,allocated,HA-BAB1-ZC-01
07359980562,allocated,HA-BAB1-ZC-02
07426926573,allocated,HA-BAB1-ZC-03
07349582025,allocated,HA-BAB1-ZC-04
07903826190,allocated,HA-BAB1-ZC-05
07535972423,allocated,HA-BAB1-ZC-06
07927335169,allocated,HA-BAB1-ZC-07
07353943810,allocated,HA-BAB1-ZC-08
07867935083,allocated,HA-BAB1-ZC-09
07860508742,allocated,HA-BAB1-ZC-10
07339887472,allocated,HA-BAB2
07027985838,allocated,HA-BAB2-ZA
07424012521,allocated,HA-BAB2-ZA-01
07693875880,allocated,HA-BAB2-ZA-02
07353091692,allocated,HA-BAB2-ZA-03
07092753108,allocated,HA-BAB2-ZA-04
07064797524,allocated,HA-BAB2-ZA-05
07860470757,allocated,HA-BAB2-ZA-06
07155128138,allocated,HA-BAB2-ZA-07
07052037800,allocated,HA-BAB2-ZA-08
07527387293,allocated,HA-BAB2-ZA-09
07662816387,allocated,HA-BAB2-ZA-10
07397398037,allocated,HA-BAE1
07322801910,allocated,HA-BAE1-ZA
07273362876,allocated,HA-BAE1-ZA-01
07866270097,allocated,HA-BAE1-ZA-02
07513254956,allocated,HA-BAE1-ZA-03
07582213198,allocated,HA-BAE1-ZA-04
07185535052,allocated,HA-BAE1-ZA-05
07478005664,allocated,HA-BAE1-ZA-06
07575995737,allocated,HA-BAE1-ZA-07
07503029360,allocated,HA-BAE1-ZA-08
07374625165,allocated,HA-BAE1-ZA-09
07917887507,allocated,HA-BAE1-ZA-10
07773358677,allocated,HA-BAE1-ZB
07361549671,allocated,HA-BAE1-ZB-01
07968321213,allocated,HA-BAE1-ZB-02
07276706086,allocated,HA-BAE1-ZB-03
07221699139,allocated,HA-BAE1-ZB-04
07527675547,allocated,HA-BAE1-ZB-05
07758672619,allocated,HA-BAE1-ZB-06
07812204081,allocated,HA-BAE1-ZB-07
07769461178,allocated,HA-BAE1-ZB-08
07403449147,allocated,HA-BAE1-ZB-09
07576152117,allocated,HA-BAE1-ZB-10
07500336943,allocated,HA-BAE1-ZC
07154011616,allocated,HA-BAE1-ZC-01
07433783460,allocated,HA-BAE1-ZC-02
07963461981,allocated,HA-BAE1-ZC-03
07279850919,allocated,HA-BAE1-ZC-04
07176286397,allocated,HA-BAE1-ZC-05
07153743447,allocated,HA-BAE1-ZC-06
07867684785,allocated,HA-BAE1-ZC-07
07244607995,allocated,HA-BAE1-ZC-08
07063695905,allocated,HA-BAE1-ZC-09
07176266086,allocated,HA-BAE1-ZC-10
07797315198,allocated,HA-BAE2
07239458844,allocated,HA-BAE2-ZA
07590888837,allocated,HA-BAE2-ZA-01
07449758738,allocated,HA-BAE2-ZA-02
07757246968,allocated,HA-BAE2-ZA-03
07419485432,allocated,HA-BAE2-ZA-04
07136072060,allocated,HA-BAE2-ZA-05
07650142447,allocated,HA-BAE2-ZA-06
07571390451,allocated,HA-BAE2-ZA-07
07884404893,allocated,HA-BAE2-ZA-08
07438494745,allocated,HA-BAE2-ZA-09
07560079144,allocated,HA-BAE2-ZA-10
07909457223,allocated,HA-BAI1
07482986811,allocated,HA-BAI1-ZA
07825509858,allocated,HA-BAI1-ZA-01
07911797236,allocated,HA-BAI1-ZA-02
07443624912,allocated,HA-BAI1-ZA-03
07735774431,allocated,HA-BAI1-ZA-04
07203623696,allocated,HA-BAI1-ZA-05
07234084102,allocated,HA-BAI1-ZA-06
07523723744,allocated,HA-BAI1-ZA-07
07580909610,allocated,HA-BAI1-ZA-08
07227212145,allocated,HA-BAI1-ZA-09
07951291541,allocated,HA-BAI1-ZA-10
07749787214,allocated,HA-BAI1-ZB
07940657719,allocated,HA-BAI1-ZB-01
07395942590,allocated,HA-BAI1-ZB-02
07835555477,allocated,HA-BAI1-ZB-03
07097985702,allocated,HA-BAI1-ZB-04
07732850563,allocated,HA-BAI1-ZB-05
07199780315,allocated,HA-BAI1-ZB-06
07838930725,allocated,HA-BAI1-ZB-07
07855540756,allocated,HA-BAI1-ZB-08
07233589509,allocated,HA-BAI1-ZB-09
07856425367,allocated,HA-BAI1-ZB-10
07364679642,allocated,HA-BAI1-ZC
07159944078,allocated,HA-BAI1-ZC-01
07953167583,allocated,HA-BAI1-ZC-02
07414546902,allocated,HA-BAI1-ZC-03
07477554741,allocated,HA-BAI1-ZC-04
07007752443,allocated,HA-BAI1-ZC-05
07967349674,allocated,HA-BAI1-ZC-06
07436258683,allocated,HA-BAI1-ZC-07
07242591594,allocated,HA-BAI1-ZC-08
07937041442,allocated,HA-BAI1-ZC-09
07150708157,allocated,HA-BAI1-ZC-10
07183114067,allocated,HA-BAI2
07184790449,allocated,HA-BAI2-ZA
07520913020,allocated,HA-BAI2-ZA-01
07930524102,allocated,HA-BAI2-ZA-02
07693405389,allocated,HA-BAI2-ZA-03
07808418116,allocated,HA-BAI2-ZA-04
07300612645,allocated,HA-BAI2-ZA-05
07683126682,allocated,HA-BAI2-ZA-06
07125536787,allocated,HA-BAI2-ZA-07
07436611887,allocated,HA-BAI2-ZA-08
07682090853,allocated,HA-BAI2-ZA-09
07789018509,allocated,HA-BAI2-ZA-10
07624937466,allocated,HA-BAN1
07261324131,allocated,HA-BAN1-ZA
07360365003,allocated,HA-BAN1-ZA-01
07705151358,allocated,HA-BAN1-ZA-02
07423634446,allocated,HA-BAN1-ZA-03
07382011711,allocated,HA-BAN1-ZA-04
07758090890,allocated,HA-BAN1-ZA-05
07454942416,allocated,HA-BAN1-ZA-06
07560640805,allocated,HA-BAN1-ZA-07
07610129115,allocated,HA-BAN1-ZA-08
07078287255,allocated,HA-BAN1-ZA-09
07816764123,allocated,HA-BAN1-ZA-10
07630376531,allocated,HA-BAN1-ZB
07666237796,allocated,HA-BAN1-ZB-01
07548488569,allocated,HA-BAN1-ZB-02
07953888778,allocated,HA-BAN1-ZB-03
07385080455,allocated,HA-BAN1-ZB-04
07487079007,allocated,HA-BAN1-ZB-05
07319690962,allocated,HA-BAN1-ZB-06
07953939006,allocated,HA-BAN1-ZB-07
07327276163,allocated,HA-BAN1-ZB-08
07037832881,allocated,HA-BAN1-ZB-09
07898964413,allocated,HA-BAN1-ZB-10
07700702708,allocated,HA-BAN1-ZC
07221317000,allocated,HA-BAN1-ZC-01
07502627069,allocated,HA-BAN1-ZC-02
07033168963,allocated,HA-BAN1-ZC-03
07282985560,allocated,HA-BAN1-ZC-04
07916193367,allocated,HA-BAN1-ZC-05
07490363166,allocated,HA-BAN1-ZC-06
07493231017,allocated,HA-BAN1-ZC-07
07175327218,allocated,HA-BAN1-ZC-08
07752806891,allocated,HA-BAN1-ZC-09
07394327266,allocated,HA-BAN1-ZC-10
07052812071,allocated,HA-BAN2
07248867749,allocated,HA-BAN2-ZA
07120410901,allocated,HA-BAN2-ZA-01
07466470025,allocated,HA-BAN2-ZA-02
07703802279,allocated,HA-BAN2-ZA-03
07348424572,allocated,HA-BAN2-ZA-04
07731702999,allocated,HA-BAN2-ZA-05
07077741321,allocated,HA-BAN2-ZA-06
07008276286,allocated,HA-BAN2-ZA-07
07486299163,allocated,HA-BAN2-ZA-08
07176474809,allocated,HA-BAN2-ZA-09
07230153805,allocated,HA-BAN2-ZA-10
07540130913,allocated,HA-BAR1
07489641832,allocated,HA-BAR1-ZA
07536362884,allocated,HA-BAR1-ZA-01
07472313152,allocated,HA-BAR1-ZA-02
07949817189,allocated,HA-BAR1-ZA-03
07541978956,allocated,HA-BAR1-ZA-04
07758375233,allocated,HA-BAR1-ZA-05
07614539438,allocated,HA-BAR1-ZA-06
07379826904,allocated,HA-BAR1-ZA-07
07829770929,allocated,HA-BAR1-ZA-08
07193705360,allocated,HA-BAR1-ZA-09
07793131544,allocated,HA-BAR1-ZA-10
07351226338,allocated,HA-BAR1-ZB
07701663023,allocated,HA-BAR1-ZB-01
07815620127,allocated,HA-BAR1-ZB-02
07207514797,allocated,HA-BAR1-ZB-03
07254891279,allocated,HA-BAR1-ZB-04
07554715337,allocated,HA-BAR1-ZB-05
07859714205,allocated,HA-BAR1-ZB-06
07079029873,allocated,HA-BAR1-ZB-07
07437438172,allocated,HA-BAR1-ZB-08
07759143910,allocated,HA-BAR1-ZB-09
07905376921,allocated,HA-BAR1-ZB-10
07166531075,allocated,HA-BAR1-ZC
07343001120,allocated,HA-BAR1-ZC-01
07535998684,allocated,HA-BAR1-ZC-02
07626713429,allocated,HA-BAR1-ZC-03
07508624625,allocated,HA-BAR1-ZC-04
07496081370,allocated,HA-BAR1-ZC-05
07044262691,allocated,HA-BAR1-ZC-06
07786934107,allocated,HA-BAR1-ZC-07
07400067967,allocated,HA-BAR1-ZC-08
07054638560,allocated,HA-BAR1-ZC-09
07207873715,allocated,HA-BAR1-ZC-10
07445164924,allocated,HA-BAR2
07268820551,allocated,HA-BAR2-ZA
07898743440,allocated,HA-BAR2-ZA-01
07583917381,allocated,HA-BAR2-ZA-02
07274744962,allocated,HA-BAR2-ZA-03
07549915853,allocated,HA-BAR2-ZA-04
07459860940,allocated,HA-BAR2-ZA-05
07354417268,allocated,HA-BAR2-ZA-06
07764133459,allocated,HA-BAR2-ZA-07
07878509599,allocated,HA-BAR2-ZA-08
07016162334,allocated,HA-BAR2-ZA-09
07953727320,allocated,HA-BAR2-ZA-10
07201039792,allocated,HA-BAS1
07406111075,allocated,HA-BAS1-ZA
07894556349,allocated,HA-BAS1-ZA-01
07431908471,allocated,HA-BAS1-ZA-02
07130457974,allocated,HA-BAS1-ZA-03
07843158097,allocated,HA-BAS1-ZA-04
07367750248,allocated,HA-BAS1-ZA-05
07168342178,allocated,HA-BAS1-ZA-06
07491267262,allocated,HA-BAS1-ZA-07
07321157878,allocated,HA-BAS1-ZA-08
07917809138,allocated,HA-BAS1-ZA-09
07647837894,allocated,HA-BAS1-ZA-10
07010043413,allocated,HA-BAS1-ZB
07481461251,allocated,HA-BAS1-ZB-01
07420520800,allocated,HA-BAS1-ZB-02
07488438168,allocated,HA-BAS1-ZB-03
07781205303,allocated,HA-BAS1-ZB-04
07114771203,allocated,HA-BAS1-ZB-05
07426742817,allocated,HA-BAS1-ZB-06
07752696124,allocated,HA-BAS1-ZB-07
07439912665,allocated,HA-BAS1-ZB-08
07793131496,allocated,HA-BAS1-ZB-09
07178888460,allocated,HA-BAS1-ZB-10
07145194070,allocated,HA-BAS1-ZC
07535610374,allocated,HA-BAS1-ZC-01
07646346970,allocated,HA-BAS1-ZC-02
07167638245,allocated,HA-BAS1-ZC-03
07184199262,allocated,HA-BAS1-ZC-04
07889292629,allocated,HA-BAS1-ZC-05
07806729210,allocated,HA-BAS1-ZC-06
07503221979,allocated,HA-BAS1-ZC-07
07252067266,allocated,HA-BAS1-ZC-08
07272692061,allocated,HA-BAS1-ZC-09
07204077351,allocated,HA-BAS1-ZC-10
07029800051,allocated,HA-BAS2
07435767539,allocated,HA-BAS2-ZA
07847328088,allocated,HA-BAS2-ZA-01
07874374860,allocated,HA-BAS2-ZA-02
07995693218,allocated,HA-BAS2-ZA-03
07481235575,allocated,HA-BAS2-ZA-04
07214148052,allocated,HA-BAS2-ZA-05
07018128633,allocated,HA-BAS2-ZA-06
07743915604,allocated,HA-BAS2-ZA-07
07848841800,allocated,HA-BAS2-ZA-08
07778151691,allocated,HA-BAS2-ZA-09
07066616785,allocated,HA-BAS2-ZA-10
07053525961,allocated,HA-BBD1
07931115855,allocated,HA-BBD1-ZA
07857287989,allocated,HA-BBD1-ZA-01
07665663813,allocated,HA-BBD1-ZA-02
07684851295,allocated,HA-BBD1-ZA-03
07064402481,allocated,HA-BBD1-ZA-04
07225537017,allocated,HA-BBD1-ZA-05
07811951731,allocated,HA-BBD1-ZA-06
07940430555,allocated,HA-BBD1-ZA-07
07426633254,allocated,HA-BBD1-ZA-08
07138822871,allocated,HA-BBD1-ZA-09
07629392581,allocated,HA-BBD1-ZA-10
07802409162,allocated,HA-BBD1-ZB
07527266788,allocated,HA-BBD1-ZB-01
07688594364,allocated,HA-BBD1-ZB-02
07307376694,allocated,HA-BBD1-ZB-03
07526216540,allocated,HA-BBD1-ZB-04
07236062241,allocated,HA-BBD1-ZB-05
07707110417,allocated,HA-BBD1-ZB-06
07298218064,allocated,HA-BBD1-ZB-07
07765241163,allocated,HA-BBD1-ZB-08
